"gene","PresAbs"
"Actr2",1
"Actr3",1
"Actr3b",1
"Actr5",1
"Actr6",1
"Actr8",1
"Actrt3",1
"Acvr1",1
"Acvr1b",1
"Acvr1c",1
"Acvr2a",1
"Acvr2b",1
"Acvrl1",1
"Acy1",1
"Acy3",1
"Acyp1",1
"Acyp2",1
"Ada",1
"Adad2",1
"Adal",1
"Adam10",1
"Adam11",1
"Adam12",1
"Adam15",1
"Adam17",1
"Adam18",1
"Adam19",1
"Adam1a",1
"Adam1b",1
"Adam21",1
"Adam22",1
"Adam23",1
"Adam26b",1
"Adam28",1
"Adam33",1
"Adam4",1
"Adam8",1
"Adam9",1
"Adamdec1",1
"Adamts1",1
"Adamts10",1
"Adamts13",1
"Adamts14",1
"Adamts15",1
"Adamts16",1
"Adamts17",1
"Adamts18",1
"Adamts2",1
"Adamts20",1
"Adamts3",1
"Adamts4",1
"Adamts5",1
"Adamts6",1
"Adamts7",1
"Adamts8",1
"Adamts9",1
"Adamtsl1",1
"Adamtsl2",1
"Adamtsl3",1
"Adamtsl4",1
"Adamtsl5",1
"Adap1",1
"Adap2",1
"Adar",1
"Adarb1",1
"Adarb2",1
"Adat1",1
"Adat2",1
"Adat3",1
"Adck1",1
"Adck2",1
"Adck5",1
"Adcy1",1
"Adcy10",1
"Adcy2",1
"Adcy3",1
"Adcy4",1
"Adcy5",1
"Adcy6",1
"Adcy7",1
"Adcy8",1
"Adcy9",1
"Adcyap1",1
"Adcyap1r1",1
"Add1",1
"Add2",1
"Add3",1
"Adgra1",1
"Adgra2",1
"Adgra3",1
"Adgrb1",1
"Adgrb2",1
"Adgrb3",1
"Adgrd1",1
"Adgre1",1
"Adgre4",1
"Adgre5",1
"Adgrf1",1
"Adgrf2",1
"Adgrf4",1
"Adgrf5",1
"Adgrg1",1
"Adgrg2",1
"Adgrg4",1
"Adgrg6",1
"Adgrl1",1
"Adgrl2",1
"Adgrl3",1
"Adgrl4",1
"Adgrv1",1
"Adh5",1
"Adh6b",1
"Adhfe1",1
"Adi1",1
"Adipor1",1
"Adipor2",1
"Adk",1
"Adm",1
"Adnp",1
"Adnp2",1
"Ado",1
"Adora1",1
"Adora2a",1
"Adora2b",1
"Adora3",1
"Adpgk",1
"Adprh",1
"Adprhl2",1
"Adprm",1
"Adra1a",1
"Adra1b",1
"Adra1d",1
"Adra2a",1
"Adra2b",1
"Adra2c",1
"Adrb1",1
"Adrb2",1
"Adrb3",1
"Adrbk1",1
"Adrbk2",1
"Adrm1",1
"Adsl",1
"Adss",1
"Adssl1",1
"Adtrp",1
"Aebp1",1
"Aebp2",1
"Aen",1
"Aes",1
"AF366264",1
"AF529169",1
"Afap1",1
"Afap1l1",1
"Afap1l2",1
"Aff1",1
"Aff2",1
"Aff3",1
"Aff4",1
"Afg3l1",1
"Afg3l2",1
"Afmid",1
"Aftph",1
"Aga",1
"Agap1",1
"Agap2",1
"Agap3",1
"Agbl1",1
"Agbl2",1
"Agbl3",1
"Agbl4",1
"Agbl5",1
"Ager",1
"Agfg1",1
"Agfg2",1
"Aggf1",1
"Agk",1
"Agl",1
"Agmat",1
"Agmo",1
"Ago1",1
"Ago2",1
"Ago3",1
"Ago4",1
"Agpat1",1
"Agpat2",1
"Agpat3",1
"Agpat4",1
"Agpat5",1
"Agpat9",1
"Agps",1
"Agrn",1
"Agrp",1
"Agt",1
"Agtpbp1",1
"Agtr1a",1
"Agtr1b",1
"Agtr2",1
"Agtrap",1
"Ahctf1",1
"Ahcy",1
"Ahcyl1",1
"Ahcyl2",1
"Ahdc1",1
"Ahi1",1
"Ahnak",1
"Ahr",1
"Ahrr",1
"Ahsa1",1
"Ahsa2",1
"AI314180",1
"AI413582",1
"AI429214",1
"AI464131",1
"AI467606",1
"AI593442",1
"AI597479",1
"AI606181",1
"AI837181",1
"AI846148",1
"AI854703",1
"AI987944",1
"Aida",1
"Aif1",1
"Aif1l",1
"Aifm1",1
"Aifm2",1
"Aifm3",1
"Aig1",1
"Aim1",1
"Aim1l",1
"Aim2",1
"Aimp1",1
"Aimp2",1
"Aip",1
"Aipl1",1
"Aire",1
"Ajap1",1
"Ajuba",1
"AK010878",1
"Ak1",1
"AK157302",1
"Ak2",1
"Ak3",1
"Ak4",1
"Ak5",1
"Ak6",1
"Ak7",1
"Ak8",1
"Ak9",1
"Akain1",1
"Akap1",1
"Akap10",1
"Akap11",1
"Akap12",1
"Akap13",1
"Akap14",1
"Akap17b",1
"Akap2",1
"Akap5",1
"Akap6",1
"Akap7",1
"Akap8",1
"Akap8l",1
"Akap9",1
"Akip1",1
"Akirin1",1
"Akirin2",1
"Akna",1
"Aknad1",1
"Akp3",1
"Akr1a1",1
"Akr1b10",1
"Akr1b3",1
"Akr1b7",1
"Akr1b8",1
"Akr1c14",1
"Akr1c18",1
"Akr1d1",1
"Akr1e1",1
"Akr7a5",1
"Akt1",1
"Akt1s1",1
"Akt2",1
"Akt3",1
"Aktip",1
"Alad",1
"Alas1",1
"Alas2",1
"Alcam",1
"Aldh16a1",1
"Aldh18a1",1
"Aldh1a1",1
"Aldh1a2",1
"Aldh1a3",1
"Aldh1b1",1
"Aldh1l1",1
"Aldh1l2",1
"Aldh2",1
"Aldh3a1",1
"Aldh3a2",1
"Aldh3b1",1
"Aldh3b2",1
"Aldh4a1",1
"Aldh5a1",1
"Aldh6a1",1
"Aldh7a1",1
"Aldh8a1",1
"Aldh9a1",1
"Aldoa",1
"Aldoart2",1
"Aldob",1
"Aldoc",1
"Alg1",1
"Alg10b",1
"Alg11",1
"Alg12",1
"Alg13",1
"Alg14",1
"Alg2",1
"Alg3",1
"Alg5",1
"Alg6",1
"Alg8",1
"Alg9",1
"Alk",1
"Alkbh1",1
"Alkbh2",1
"Alkbh3",1
"Alkbh4",1
"Alkbh5",1
"Alkbh6",1
"Alkbh7",1
"Alkbh8",1
"Allc",1
"Alms1",1
"Alox12",1
"Alox12b",1
"Alox5",1
"Alox5ap",1
"Alox8",1
"Aloxe3",1
"Alpk1",1
"Alpk3",1
"Alpl",1
"Als2",1
"Als2cl",1
"Alx3",1
"Alx4",1
"Alyref",1
"Alyref2",1
"Amacr",1
"Ambra1",1
"Amd1",1
"Amd2",1
"Amdhd2",1
"Amer1",1
"Amer2",1
"Amer3",1
"Amfr",1
"Amh",1
"Amhr2",1
"Amigo1",1
"Amigo2",1
"Amigo3",1
"Ammecr1",1
"Ammecr1l",1
"Amn",1
"Amn1",1
"Amot",1
"Amotl1",1
"Amotl2",1
"Ampd2",1
"Ampd3",1
"Amph",1
"Amt",1
"Amy1",1
"Amy2a2",1
"Amy2a3",1
"Amy2a4",1
"Amy2a5",1
"Amz1",1
"Amz2",1
"Anapc1",1
"Anapc10",1
"Anapc11",1
"Anapc13",1
"Anapc15",1
"Anapc16",1
"Anapc2",1
"Anapc4",1
"Anapc5",1
"Anapc7",1
"Ang",1
"Angel1",1
"Angel2",1
"Angpt1",1
"Angpt2",1
"Angptl1",1
"Angptl2",1
"Angptl3",1
"Angptl4",1
"Angptl6",1
"Angptl7",1
"Angptl8",1
"Ank",1
"Ank1",1
"Ank2",1
"Ank3",1
"Ankdd1a",1
"Ankdd1b",1
"Ankef1",1
"Ankfy1",1
"Ankhd1",1
"Ankib1",1
"Ankk1",1
"Ankle1",1
