"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj","logP"
"Cilp2","7.29733025232825","2.72926356233142","2.00916052402667","0.174333652137332","0.668084408190722","0.8"
"Cinp","19.3746147375878","2.0097531024349","1.03568763349927","0.0523188076835636","0.462807007496735","1.3"
"Cipc","64.2495423888188","-1.23023510169514","0.690037682019261","0.0746103889286115","0.515679687496418","1.1"
"Cir1","18.4101289010039","0.891817902392071","1.01506280547328","0.379626894223216","0.820714990203941","0.4"
"Cirbp","26.1861458215406","1.3376621147384","0.844667053712658","0.113272004694831","0.583304588725426","0.9"
"Cirh1a","35.1794026582499","0.514787271340715","0.693719689055339","0.458046058958331","0.85520809771509","0.3"
"Cisd1","43.8268904431429","0.367150496876368","0.894814863838429","0.681579368783273","0.931193873957827","0.2"
"Cisd2","43.2165958452255","-0.685723483038057","0.562443087019955","0.222773101397492","0.714597734447845","0.7"
"Cisd3","15.7402587179897","4.79946537566269","1.61393322946694","0.00294165980493319","0.18275271656705","2.5"
"Cish","0.851006319340519","-1.48597416503128","3.68483281535769","0.68675127853597",NA,"0.2"
"Cit","26.2756221882399","0.735414042929335","0.984470374733145","0.455054564121115","0.853139027612478","0.3"
"Cited1","0.584528747111416","0.0999125768647405","4.92916814134411","0.983828256269585",NA,"0"
"Cited2","25.006643327781","1.53626898346084","0.854533439651039","0.0722107914974237","0.510120679116303","1.1"
"Cited4","0.755925749180242","2.62956176333732","4.42421712281199","0.552273763169337",NA,"0.3"
"Ciz1","55.0487513305058","0.808555749533763","0.639848896631072","0.206349678879435","0.695803986218367","0.7"
"CK137956","1.16169294394493","2.51382979994528","3.32819229438884","0.450060678801708",NA,"0.3"
"Ckap2l","0.267798765710398","-1.54887042965612","5.35722319806945","0.772490969093162",NA,"0.1"
"Ckap4","15.5013508649563","0.167877638188509","1.03391905279912","0.871014340328735","0.976455754594144","0.1"
"Ckap5","88.011298175054","-0.10652155263249","0.591576540932212","0.857102438098632","0.974344343437634","0.1"
"Ckb","756.494692116868","0.250816345759604","0.389981630025165","0.520127338369921","0.877753685369776","0.3"
"Cklf","0.553348777868725","-1.53664753352303","4.87518543445565","0.752611505433036",NA,"0.1"
"Ckm","1.52534206214262","1.19073727941966","3.32088755100395","0.719924311150418",NA,"0.1"
"Ckmt1","127.083263952093","-0.404720986431023","0.420285677411412","0.335564384517758","0.790467938257904","0.5"
"Ckmt2","0.0448757104803498","-1.54870075705429","5.35722982296568","0.77251547876343",NA,"0.1"
