"","gene","pvalue","lfc","padj","direction"
"12219","Rnf182",0.0323675177228438,-0.304127460633337,0.928180590027259,"neither"
"12221","Rnf185",0.0681584064662123,0.385058377543213,0.854754888988583,"neither"
"12222","Rnf187",0.230339103337558,0.448621765308899,0.588384057268612,"neither"
"12223","Rnf19a",0.130279885473739,-0.49814448740931,0.740832650324864,"neither"
"12224","Rnf19b",0.63070072163445,0.971972194581396,0.234044951937649,"neither"
"12225","Rnf2",0.159436049219206,-0.748810164393113,0.692729927874121,"neither"
"12226","Rnf20",0.0334328066624892,-0.214973648242766,0.925906628810466,"neither"
"12227","Rnf207",0.133703809911456,1.35178065546055,0.735014979592787,"neither"
"12228","Rnf208",0.0219216931938764,0.103172099295375,0.950776210839192,"neither"
"12230","Rnf213",0.629051739648279,2.59800821685907,0.234935291415016,"neither"
"12231","Rnf214",0.196117643093845,-0.661005545394682,0.636623047038894,"neither"
"12232","Rnf215",0.0470316197169153,-0.433450532320615,0.897363457701323,"neither"
"12233","Rnf216",0.00535182440703062,-0.0428477410559795,0.987752586516337,"neither"
"12234","Rnf217",0.218513230646642,-1.34216344010208,0.604625931322781,"neither"
"12235","Rnf219",0.00783007952639155,-0.122478185707026,0.982132133289865,"neither"
"12236","Rnf220",0.211495529778242,0.372192596350083,0.6144753565086,"neither"
"12239","Rnf225",0.0587279810672399,0.761455605252594,0.873518322432013,"neither"
"12240","Rnf24",0.0174430295720314,-0.144164151302667,0.960631825092018,"neither"
"12241","Rnf25",0.0174836194201437,0.15192760609663,0.960542047120086,"neither"
"12242","Rnf26",0.0235984451876902,0.176104198186752,0.947112470209746,"neither"
"12243","Rnf31",4.88831544402968e-05,0.00203106491950237,0.999887448711659,"neither"
"12244","Rnf32",0.0548828123639822,0.578698571310307,0.881286642471226,"neither"
"12245","Rnf34",0.0264073907863881,-0.214253322436207,0.941006469422789,"neither"
"12246","Rnf38",0.0280612315841148,0.218016953265221,0.937429828502161,"neither"
"12247","Rnf39",0.183099176411691,-2.09884674395109,0.655995444681625,"neither"
"12248","Rnf4",0.122214335684629,0.465801222749897,0.754719661846714,"neither"
"12249","Rnf40",0.534950081855813,-0.77960477611893,0.291776236459458,"neither"
"12250","Rnf41",0.00561026078518242,0.0427943693944893,0.987164977706356,"neither"
"12252","Rnf44",0.0127680199214011,-0.0707745010407518,0.971028507378976,"neither"
"12253","Rnf5",0.101543132587806,0.618630293324378,0.791510840670733,"neither"
"12254","Rnf6",0.32832427144752,-0.798627809309183,0.469543387199395,"neither"
"12255","Rnf7",0.297773827769761,0.792619234544356,0.50376289053039,"neither"
"12256","Rnf8",0.0328421369185355,-0.395522425930093,0.927166780934597,"neither"
"12257","Rnft1",0.0498402541931072,-0.500318906769797,0.891578825762811,"neither"
"12258","Rnft2",0.0541951780994963,0.272385788133227,0.882683120952979,"neither"
"12259","Rngtt",0.00783007952639155,-0.112835553033583,0.982132133289865,"neither"
"12260","Rnh1",4.88831544402968e-05,0.00176994607487077,0.999887448711659,"neither"
"12262","Rnmt",0.055477114373555,-0.266119840171727,0.88008148732949,"neither"
"12263","Rnmtl1",0.0126372672238947,0.22555108680189,0.97132089817939,"neither"
"12264","Rnpc3",0.0419973265996825,0.326955873708547,0.907826118495018,"neither"
"12265","Rnpep",0.0127680199214011,0.10417924226255,0.971028507378976,"neither"
"12266","Rnpepl1",0.0152231077899843,-0.164686366894203,0.965554722274383,"neither"
"12267","Rnps1",0.289613021744843,0.568807445059154,0.513318572971993,"neither"
"12268","Robo1",0.0453746522943284,-0.38538205677033,0.900793715702422,"neither"
"12269","Robo2",0.660923709362696,-0.82843828042529,0.218311337626616,"neither"
"12270","Robo3",0.146041017439962,-0.797890226114686,0.714428847837901,"neither"
"12271","Robo4",0.018897378430012,-0.391450411062811,0.957420278094296,"neither"
"12272","Rock1",0.176181218059624,-0.807599522880491,0.666528588793459,"neither"
"12273","Rock2",1.41128677197328,-1.04967635827478,0.0387894148357317,"HOMO"
"12274","Rogdi",0.0416543496789649,-0.206588709373723,0.908543342404331,"neither"
"12276","Romo1",0.342462320490795,0.954389607700896,0.454503968388788,"neither"
"12278","Ror1",0.282940141659365,-2.37537507102201,0.521266551761447,"neither"
"12280","Rora",0.0591188085930109,0.384949669180072,0.872732584984381,"neither"
"12281","Rorb",0.948392950587344,2.01416004967804,0.112617802673765,"neither"
"12283","Rp2",0.00783007952639155,0.0940736818603009,0.982132133289865,"neither"
"12289","RP23-220F20.2",0.0384794711581474,-0.417862628444561,0.915209519668473,"neither"
"12291","RP23-281F13.1",0.287165697565742,1.53074670066013,0.516219377099102,"neither"
"12292","RP23-288O12.2",0.0382394642282133,-0.839282144692391,0.915715437524954,"neither"
"12295","RP23-325D10.3",0.033902431282328,-1.82064499934838,0.924905940221678,"neither"
"12296","RP23-328F3.4",0.0263231163931547,0.292758587411809,0.941189088468966,"neither"
"12302","RP24-160I20.1",0.0948708373871092,2.06709760185372,0.803765132747902,"neither"
"12305","RP24-77E13.10",0.141647973736922,-1.01692053671585,0.721692224535909,"neither"
"12307","Rp9",0.0158760168338482,0.242415744176994,0.964104218538746,"neither"
"12308","Rpa1",0.0162145937081329,0.113476101594143,0.963352893805695,"neither"
"12309","Rpa2",0.0875423457407199,-0.810033029191647,0.817443329514563,"neither"
"12311","Rpain",0.0161634126361821,-0.286582571650714,0.963466430452447,"neither"
"12312","Rpap1",0.0352412330290258,0.292771436276382,0.922059118317075,"neither"
"12313","Rpap2",0.00885351510640267,-0.147786696753928,0.979820417160751,"neither"
"12314","Rpap3",0.000295611558288713,0.0101790286538665,0.999319560836363,"neither"
"12315","Rpe",0.128253781528248,-0.773083643945326,0.744296914249655,"neither"
"12317","Rpf1",0.0477176118915616,0.670008751775242,0.895947141315645,"neither"
"12318","Rpf2",0.00685998323552833,0.110449793903757,0.984328402593627,"neither"
"12319","Rpgr",0.0518989222363278,-0.480336050012011,0.887362512892518,"neither"
"12320","Rpgrip1",0.129951044866869,3.12009211745203,0.741393808991879,"neither"
"12321","Rpgrip1l",0.46264232277385,-1.65341904568974,0.344633648070004,"neither"
