"","gene","pvalue","lfc","padj","direction"
"237","Mef2c",1.05032963920807,-1.56642996515375,0.0890574715439655,"DG"
"13","Adgrl2",1.05109616382323,4.81062378145607,0.0889004247954121,"CA1"
"353","Sept9",1.05109616382323,1.53820661732731,0.0889004247954121,"CA1"
"70","Cdk18",1.05250307007857,-2.72662663355052,0.0886128959487934,"DG"
"95","Csdc2",1.05250307007857,-1.43861867677203,0.0886128959487934,"DG"
"81","Clvs1",1.05327333474054,1.2234795246804,0.0884558714134052,"CA1"
"100","Cygb",1.05327333474054,-1.60158195029395,0.0884558714134052,"DG"
"377","Snd1",1.05421853339176,1.08275886498842,0.0882635653695595,"CA1"
"105","Dip2c",1.05475336498514,1.20178408538583,0.0881549361096263,"CA1"
"96","Csf1",1.05635239384427,-1.83047100639688,0.0878309552476752,"DG"
"111","Dync1h1",1.05635239384427,1.16419830733284,0.0878309552476752,"CA1"
"358","Sh3gl1",1.05635239384427,-1.55876779972446,0.0878309552476752,"DG"
"441","Zeb2",1.05635239384427,1.01584105323377,0.0878309552476752,"CA1"
"339","Ror1",1.06306913402081,4.56820941235676,0.0864830238116024,"CA1"
"169","Hpcal1",1.07440232710243,-1.49386224908549,0.0842553860628099,"DG"
"73","Cds1",1.07503203330813,2.29332840468592,0.0841333083118157,"CA1"
"378","Sntb2",1.07750259944945,-2.08780341512795,0.0836560588546285,"DG"
"431","Vwa3a",1.07750259944945,-2.93948293182392,0.0836560588546285,"DG"
"60","Cblb",1.08034543015979,-1.60087689920874,0.0831102463921799,"DG"
"127","Fam19a1",1.08531364789746,1.51371905049441,0.0821649039883797,"CA1"
"250","Nbl1",1.08650131305205,1.12882750917544,0.0819405145775471,"CA1"
"258","Npr1",1.08720665886457,-3.31323814683795,0.0818075414624611,"DG"
"252","Ndst3",1.09088276304796,4.34993022998693,0.0811180004767425,"CA1"
"106","Dkk3",1.09521182412557,1.8609684572775,0.0803134303446043,"CA1"
"388","Stac",1.09752265839316,4.11132847054341,0.079887226111485,"CA1"
"410","Tmem200a",1.09752265839316,2.90433129821002,0.079887226111485,"CA1"
"403","Thrsp",1.10347123273001,-1.83310639151143,0.0788004626429676,"DG"
"226","Man1a2",1.10433392947348,1.09734436114998,0.078644086197309,"CA1"
"273","Parvg",1.10558422785422,-4.98749271153631,0.0784180018847573,"DG"
"296","Plod2",1.10640500953244,-2.48801788933581,0.0782699381199241,"DG"
"116","Ehd1",1.10904045554015,-1.20878950393317,0.0777964078502717,"DG"
"120","Eps15",1.10904045554015,1.22639286761826,0.0777964078502717,"CA1"
"184","Islr",1.11071016954443,-4.19291098133525,0.0774978814574094,"DG"
"230","Marcksl1",1.11312571625135,-1.7969167139786,0.0770680346108574,"DG"
"343","Rps18",1.11363460743414,-1.28171029804907,0.0769777818537508,"DG"
"367","Slc17a6",1.11584843614055,5.74873638186077,0.0765863838090736,"CA1"
"34","Asap2",1.11901923027128,2.14963990917659,0.0760292610942874,"CA1"
"61","Ccbe1",1.11901923027128,-4.07017593344278,0.0760292610942874,"DG"
"314","Prr18",1.11901923027128,-2.08959109837539,0.0760292610942874,"DG"
"93","Cryab",1.12379663443727,-2.09315579822058,0.0751974936268372,"DG"
"139","Frrs1l",1.13138474098269,1.00080026970825,0.0738950349736204,"CA1"
"341","Rpl32",1.13505957709126,-1.25423310084209,0.0732724010195581,"DG"
