"","gene","pvalue","lfc","padj","direction"
"99","Plau",3.6498834922806,3.8968187768145,0.000223932179847604,"DISS"
"103","Plp1",3.6498834922806,2.70881923200299,0.000223932179847604,"DISS"
"23","Cldn11",3.97940768004793,3.13972897764256,0.000104855766656093,"DISS"
"19","Cd83",4.00057137967689,2.58307823414127,9.98685214762023e-05,"DISS"
"123","Slc15a3",4.0306233722889,3.44755267668376,9.31915698603622e-05,"DISS"
"93","Nfkbia",4.16502269606554,2.104496549916,6.83875907251025e-05,"DISS"
"141","Tmem88b",4.16907725060036,3.14119732357494,6.77520982114726e-05,"DISS"
"87","Mpeg1",4.18936155060469,2.41674172557916,6.46604093044104e-05,"DISS"
"15","Cd14",4.31169113472105,3.37947105758013,4.87875338123964e-05,"DISS"
"27","Cnp",4.34907541711576,2.45274178069931,4.47635563574254e-05,"DISS"
"61","Il1a",4.34907541711576,3.06019562068929,4.47635563574254e-05,"DISS"
"79","Mag",4.34907541711576,3.30535245712297,4.47635563574254e-05,"DISS"
"30","Csf1r",5.01857699230067,2.13367499895416,9.58126843254021e-06,"DISS"
"34","Ctss",5.01857699230067,2.58743097158181,9.58126843254021e-06,"DISS"
"10","C1qb",5.15077062043439,2.27624792511475,7.06690705692284e-06,"DISS"
"114","Selplg",6.03545354437131,2.96944199007498,9.21608466112071e-07,"DISS"
"58","Hexb",6.09158793496483,2.34823092106826,8.09863945657394e-07,"DISS"
"144","Trf",6.27455844854973,2.72476331388246,5.31424474121621e-07,"DISS"
