"","gene","pvalue","lfc","color"
"115","1810010H24Rik",1.13998472983054,-3.82710733613279,"DG"
"118","1810013L24Rik",0.495527026900447,-0.700229706900478,"none"
"119","1810022K09Rik",0.561949918145289,1.26072339940441,"none"
"121","1810026J23Rik",0.118780456187659,-0.207823947565927,"none"
"122","1810030O07Rik",1.19259781301774,1.49302671012797,"CA1"
"123","1810032O08Rik",0.687137465317926,-2.76483627724151,"none"
"124","1810037I17Rik",0.151017862377176,0.566083618488211,"none"
"125","1810041L15Rik",2.85064608100235,-2.10268998256693,"DG"
"126","1810043G02Rik",0.207979206886857,-0.535597975318515,"none"
"127","1810043H04Rik",0.105209080601808,0.433411108648922,"none"
"128","1810049J17Rik",0.181494801972193,0.752841963122868,"none"
"129","1810055G02Rik",0.0443648998151717,0.145850461196916,"none"
"132","2010107E04Rik",0.0242139250417925,0.0835678492202026,"none"
"133","2010107G23Rik",0.205582060853938,0.517150154522985,"none"
"135","2010109I03Rik",0.464770435038847,-3.1714481811752,"none"
"136","2010111I01Rik",0.734086367082291,1.0294618894251,"none"
"137","2010300C02Rik",0.0953175142796384,-0.11960466963015,"none"
"138","2010315B03Rik",0.303471518102355,0.797608684845678,"none"
"141","2210013O21Rik",0.647617094017346,1.15277283974664,"none"
"142","2210016F16Rik",0.307080477498823,0.850189845820347,"none"
"143","2210016L21Rik",0.388422167181662,0.457357003271253,"none"
"144","2210017I01Rik",0.340013924738952,-2.54466143818856,"none"
"145","2210408I21Rik",0.714154039344941,1.78370773003622,"none"
"146","2210418O10Rik",0.122160228622209,0.377895743318448,"none"
"147","2300009A05Rik",0.048753642052645,-0.321468110204527,"none"
"148","2310009B15Rik",1.4134510268793,-4.83974999480001,"DG"
"149","2310011J03Rik",0.012904019645992,0.047200880017017,"none"
"150","2310022A10Rik",0.0129442471943791,0.0517859118187133,"none"
"151","2310022B05Rik",0.0758923923393774,0.20886150994355,"none"
"153","2310033P09Rik",0.145541486491235,0.546999158569325,"none"
"154","2310035C23Rik",0.0328221186188088,-0.0730796252309569,"none"
"155","2310036O22Rik",0.946262614238305,-1.16135036617379,"none"
"158","2310057M21Rik",0.81298792148,1.2356344118843,"none"
"159","2310061I04Rik",0.502961609356569,-0.66359311897157,"none"
"160","2410002F23Rik",3.689276035288,-2.25759723722893,"DG"
"161","2410004B18Rik",0.329976433389227,-0.882937549786615,"none"
"162","2410004P03Rik",0.227542677465304,0.948930956719382,"none"
"163","2410015M20Rik",0.246329092952313,-0.765673523279218,"none"
"164","2410016O06Rik",0.118780456187659,-0.418006137834658,"none"
"165","2410089E03Rik",0.0706285385291833,-0.142535187035776,"none"
"166","2410131K14Rik",0.222103131020453,0.596977450182292,"none"
"169","2510002D24Rik",0.448877647250888,1.02816126109483,"none"
"170","2510009E07Rik",0.71687998321555,0.873720425539965,"none"
"171","2510039O18Rik",0.0901490045695599,-0.22241079321828,"none"
"172","2610001J05Rik",0.702440232564049,-2.00747253046605,"none"
"173","2610002M06Rik",0.0833563619593895,0.179396202137883,"none"
"174","2610008E11Rik",0.367528229746236,-0.659550569167653,"none"
"176","2610021A01Rik",0.303191564519118,-0.81699304402963,"none"
"178","2610044O15Rik8",0.0133385745451744,-0.0487686607972119,"none"
"179","2610301B20Rik",0.85103070365941,-1.09412039228684,"none"
"181","2610507B11Rik",0.0406687447924834,0.0643005908238052,"none"
"182","2610524H06Rik",0.510943166740083,-1.38511523254077,"none"
"184","2700049A03Rik",1.17664929665763,-2.11188035376979,"DG"
"185","2700060E02Rik",0.0226606439484982,0.061135744868467,"none"
"186","2700062C07Rik",0.934731637932829,-2.34801138259814,"none"
"187","2700081O15Rik",0.818675863687579,-0.634490274913602,"none"
"188","2700094K13Rik",0.553918544651402,-3.26440434512692,"none"
"189","2700097O09Rik",0.114873140028655,-0.735941849243614,"none"
"190","2810004N23Rik",0.329481881605371,-1.11921147981535,"none"
"191","2810006K23Rik",0.0331948139111512,-0.151824722478913,"none"
"192","2810021J22Rik",0.0904543391805927,-0.497308880338542,"none"
"193","2810403A07Rik",1.7727729531876,-1.16155960495116,"DG"
"196","2810428I15Rik",0.383225532819393,-0.987720975008345,"none"
"197","2810459M11Rik",0.548787036849444,1.75233855425395,"none"
"198","2810474O19Rik",0.108824741954135,-0.435566420283336,"none"
"199","2900011O08Rik",0.0840937058879953,-0.134592456600857,"none"
"200","2900026A02Rik",3.71432251359817,1.27178686101593,"CA1"
"201","2900055J20Rik",0.123952583880696,-0.457719258736995,"none"
"202","3010026O09Rik",0.249501028913062,1.29321042525693,"none"
"203","3100002H09Rik",1.00061156499015,7.35858574374721,"CA1"
