"","100-CA1-1","100-CA1-2","100-CA1-3","100-CA3-1","100-CA3-4","100-DG-2","100-DG-3","101-CA1-1","101-CA1-2","101-CA1-3","101-CA3-1","101-CA3-4","101-DG-3","101-DG-4"
"1110051M20Rik",6.24252457926072,6.56639140352997,6.43731699489382,6.64899874367352,6.88634195312486,6.59707734262235,6.37462816092984,6.56051516026658,6.21009303078744,6.80949421330485,6.79711373606459,6.60044134535392,7.75231762659421,6.66771844475348
"1110059E24Rik",3.64425478519215,3.75540763405129,3.60001443296695,4.08586615559739,3.78506559716432,3.76732128675982,4.35323374763196,3.67552744288488,4.23677278568646,3.75809775759938,3.12651249625221,3.65812092725701,4.01389154156115,3.95206352590412
"1110059G10Rik",3.30847886822224,3.14935623319299,2.89400059655021,2.64773637109613,3.29107042502106,2.93495018858259,3.25142294497095,3.27491373560725,2.53592589409972,2.36587761652163,3.38732715664427,2.08694020229055,3.26995089977578,2.20983367289943
"1110065P20Rik",4.90876404045654,4.98504332805836,5.06872688755341,4.7624849000894,5.7875352465141,5.31201640685201,5.28040354406716,5.58852390881872,4.94287987251688,3.91459864968993,5.60493818306529,5.27365777197966,4.90706546010212,5.09145788814666
"1190002N15Rik",6.57865729875793,6.4108878608567,6.70673650830444,4.85448683691592,5.65001373864736,4.41975807989732,6.29553225853647,6.18959648438351,6.48621917853705,4.89826255291417,4.85707206387202,4.49306474746033,5.25919856871318,6.81082682035383
"1190005I06Rik",0.46805449410962,0.721216784838649,0.61955620602027,0.581977174664643,0.567216889365145,0.558049382664732,0.628313204408485,0.804369351614823,0.626256336810423,0.543598547478737,0.695240864183549,0.581434369447437,0.725044750209079,0.491423773387819
"1190007I07Rik",3.51030409025142,2.84050705861961,2.87062183805019,2.81868174386064,2.93186409585941,3.64384237007312,3.32856351180946,3.01298006938118,3.11412475533634,3.481231356478,2.51672206696417,2.66138007888886,2.90527408506737,3.51826588571793
"1500009C09Rik",5.75046594970709,5.71372080732709,4.94073646057512,5.67645970868934,6.1453522175036,6.20428685732982,5.6861772628914,6.15358499252817,5.2158162512505,4.58593040928705,6.04546270675864,6.19371602619154,6.42741155462517,5.6447856118748
"1500009L16Rik",2.63567878344563,3.40415351157441,3.23875104040801,3.07809311744806,3.48051916204867,3.58726358127851,3.1103850139694,3.37414894064825,3.14033258299894,2.54428837113589,3.58840829799381,3.14222706282101,2.93493849367387,2.38809649983135
"1500011B03Rik",5.90817980263145,5.98805295026665,6.0969719413398,5.95885882112533,5.94331314438672,6.2333413549521,6.27338043114366,6.12915685523469,6.13134672228915,5.58951239103072,5.82057261358181,5.9430503292139,5.41317217796549,6.18796936361517
