"","gene","pvalue","lfc","color"
"633","Adar",1.20361504611168,-1.3678494850787,"DG"
"634","Adarb1",0.701285543187138,-1.3756222956318,"none"
"635","Adarb2",4.36988143686412,-5.26234661119169,"DG"
"636","Adat1",0.129498825531227,-1.13704140917059,"none"
"638","Adat3",1.46325408055795,-6.15147113926976,"DG"
"639","Adck1",1.23766444630616,-2.51440150017053,"DG"
"640","Adck2",0.223682789542276,-1.33974074210004,"none"
"641","Adck5",0.570626949602336,-2.01490492564535,"none"
"642","Adcy1",1.55607071671502,-1.49960435322806,"DG"
"644","Adcy2",0.434929631709187,0.804314720292864,"none"
"645","Adcy3",0.28625070280906,0.921625477445954,"none"
"647","Adcy5",2.11759377715437,-3.47754216968103,"DG"
"648","Adcy6",1.19861099727705,-2.68920964529324,"DG"
"650","Adcy8",1.03472909475806,-3.07220965113671,"DG"
"651","Adcy9",0.895541452307845,1.31076016838634,"none"
"652","Adcyap1r1",1.24495643604116,-2.16264645458714,"DG"
"653","Add1",0.120171634946665,0.25579729735284,"none"
"654","Add2",0.418239885098426,-0.647025701507882,"none"
"655","Add3",0.392865250826276,-0.909835410455661,"none"
"657","Adgra1",0.619653409490912,-2.21626071844475,"none"
"658","Adgra2",0.342431019041065,-2.11952551575541,"none"
"659","Adgra3",1.13207637532524,4.40667820241646,"CA1"
"660","Adgrb1",0.418991511711892,-0.512561256017976,"none"
"661","Adgrb2",0.362806203288768,-0.548260039774118,"none"
"662","Adgrb3",1.33773745540952,1.77035372636012,"CA1"
"668","Adgrf5",0.898034043838755,3.92932779503258,"none"
"669","Adgrg1",1.7116886515504,4.22426532176832,"CA1"
"674","Adgrl1",0.154834229852991,0.299790871492922,"none"
"675","Adgrl2",4.71406322285725,7.99775579251282,"CA1"
"676","Adgrl3",2.32111611583446,2.15210719656148,"CA1"
"677","Adgrl4",0.504503413257543,3.1517612890662,"none"
"680","Adh5",0.977585874843774,-2.87318959499221,"none"
"683","Adi1",0.141302727527462,-1.16328623890465,"none"
"684","Adipor1",0.981693845315085,1.87178323234227,"none"
"685","Adipor2",0.880607191788406,-2.24656988957976,"none"
"686","Adk",0.0672336177623538,-0.495287127279858,"none"
"688","Adnp",0.055888287060528,0.454333644245088,"none"
"689","Adnp2",0.446788047648927,-1.90607996518541,"none"
"690","Ado",0.0384960873982437,-0.187615207376182,"none"
"691","Adora1",0.167544606411926,0.423401734808054,"none"
"694","Adora3",1.17855335937399,-6.79694057273498,"DG"
"695","Adpgk",0.0105200163082816,0.115708342835507,"none"
"696","Adprh",0.173858561617928,0.524427170628103,"none"
"697","Adprhl2",0.0629585149889986,-0.430271945775993,"none"
"701","Adra1d",0.490476658219321,-1.34026410319416,"none"
"703","Adra2b",0.428650188691985,-3.09927506581287,"none"
