"","gene","pvalue","lfc","padj","color"
"11130","Ppan",0.0278207139953289,0.263142260345156,0.937949132376603,"none"
"11131","Ppara",0.0680802919859422,1.11750766985017,0.854908643507098,"none"
"11132","Ppard",0.175626476555759,0.823483127897765,0.667380516083675,"none"
"11134","Ppargc1a",0.150446811744751,-0.630608723262609,0.707217808684812,"none"
"11135","Ppargc1b",0.111407640135821,-1.31743928189388,0.773735208796659,"none"
"11136","Ppat",0.287057363392235,-1.81486700598877,0.516348163389477,"none"
"11137","Ppcdc",0.00783276564825134,-0.134668057395333,0.982126058797685,"none"
"11138","Ppcs",0.02394134445979,-0.526574734296129,0.946364968193613,"none"
"11139","Ppdpf",0.0054238942468038,0.0629630119380884,0.9875886855982,"none"
"11140","Ppef1",0.00783276564825134,-0.252107686602407,0.982126058797685,"none"
"11142","Ppfia1",0.230342882349595,-0.932335272329149,0.588378937468906,"none"
"11143","Ppfia2",0.296023039193489,-0.78617882778226,0.505797828866532,"none"
"11144","Ppfia3",0.00298568660560361,-0.0244473018623842,0.993148779888918,"none"
"11145","Ppfia4",0.0268075196968848,0.156347091296015,0.940139890383042,"none"
"11146","Ppfibp1",0.429609647566041,1.52932915971416,0.371869322400966,"none"
"11147","Ppfibp2",0.0668252514958364,0.87073163381552,0.85738276376534,"none"
"11148","Pphln1",0.274328256709071,-0.924230731281752,0.531706223046035,"none"
"11149","Ppia",0.210495841057925,0.395280434855551,0.615891427059273,"none"
"11150","Ppib",0.382766409413301,0.959297154872106,0.414222409491697,"none"
"11152","Ppid",0.0628190129778618,-0.352274955580759,0.86532845891301,"none"
"11153","Ppie",0.236712827895091,1.634556272121,0.579811963521163,"none"
"11154","Ppif",0.0399238904481878,0.5147381788253,0.912170682093328,"none"
"11155","Ppig",0.142850489996236,-0.642131683537263,0.719696697790901,"none"
"11156","Ppih",0.0380049821097033,0.470572094185402,0.916209979546798,"none"
"11157","Ppil1",0.228950153514577,1.40286210669934,0.590268824845447,"none"
"11158","Ppil2",0.0359198855631739,-0.22106825935508,0.920619383031231,"none"
"11159","Ppil3",0.0268075196968848,0.468516554365744,0.940139890383042,"none"
"11160","Ppil4",0.0157268117784068,0.150704503661502,0.964435500520054,"none"
"11162","Ppip5k1",0.125158339919997,-0.411454905679529,0.749620854382662,"none"
"11163","Ppip5k2",0.208923124131049,-1.04175429395563,0.618125806900446,"none"
"11164","Ppl",0.117624339663807,-1.24966981396361,0.762738485843417,"none"
"11165","Ppm1a",0.10740684369321,-0.301657582571821,0.780895924602846,"none"
"11166","Ppm1b",0.0351772682568269,-0.161577614095577,0.92219493317886,"none"
"11167","Ppm1d",0.0580801201988567,-0.675013653707813,0.874822369980813,"none"
"11168","Ppm1e",1.04509626753813,-0.852545444828106,0.0901371313710305,"HOMO"
"11169","Ppm1f",0.173272308245807,0.530465165864201,0.671007990325634,"none"
"11170","Ppm1g",0.0118643528934516,-0.0852417359702269,0.973051098130826,"none"
"11171","Ppm1h",0.0705888036411429,0.396953443678849,0.849984872260804,"none"
"11173","Ppm1k",0.236093696037384,-0.837539721277787,0.580639135121007,"none"
"11174","Ppm1l",0.375199459548349,-0.959023942690911,0.421502874254033,"none"
"11175","Ppm1m",0.0276304291915233,-0.383888723597764,0.938360181974198,"none"
"11176","Ppme1",0.00256678187759367,-0.0215809920364541,0.994107197385331,"none"
"11177","Ppox",0.0319791526721083,0.304776392725947,0.929010980788154,"none"
"11178","Ppp1ca",0.20607891309463,0.418390899000182,0.622187220918799,"none"
"11179","Ppp1cb",0.0975940873221094,-0.227933816049748,0.798740880450253,"none"
"11180","Ppp1cc",0.00780123705534097,0.0413776301500891,0.982197361054566,"none"
"11181","Ppp1r10",0.000106075710295527,-0.00310740318798214,0.999755781476944,"none"
"11182","Ppp1r11",0.0108962545528509,-0.0850337144361315,0.975222573715171,"none"
"11183","Ppp1r12a",0.228950153514577,-0.800179621732578,0.590268824845447,"none"
"11184","Ppp1r12b",0.0732611043305432,-0.357764175153996,0.844770803627152,"none"
"11185","Ppp1r12c",0.00685843031017003,0.0425951048598566,0.984331922305099,"none"
"11186","Ppp1r13b",0.00101992635904146,0.013589035681189,0.997654288261403,"none"
"11187","Ppp1r13l",0.0184168542638251,-0.391838163186098,0.958480199903261,"none"
"11188","Ppp1r14a",0.438297046087824,2.35397822313312,0.364504550048466,"none"
"11189","Ppp1r14b",0.156776162161291,1.02620573952883,0.696985651909352,"none"
"11190","Ppp1r14c",0.0352465106911086,0.321649902990372,0.92204791327745,"none"
"11191","Ppp1r15a",0.0936693208330288,0.464628135592103,0.805991903492193,"none"
"11192","Ppp1r15b",0.0438591489744318,0.239359400193939,0.903942594179676,"none"
"11193","Ppp1r16a",0.00840717032440499,-0.0903967116597326,0.98082794215122,"none"
"11194","Ppp1r16b",0.735035812540888,0.958676995819985,0.184062021504903,"none"
"11196","Ppp1r18",0.976575058209636,1.91150175973855,0.10554190815737,"none"
"11197","Ppp1r1a",0.00275345018148963,0.0320750993952687,0.993680002388806,"none"
"11198","Ppp1r1b",0.00780123705534097,0.0775300120994219,0.982197361054566,"none"
"11199","Ppp1r2",0.176611998868993,-0.472581833800732,0.665867780559361,"none"
"11200","Ppp1r21",0.0662362317763926,-0.254352680086235,0.858546393511962,"none"
"11201","Ppp1r26",0.146281484471703,1.17564084641573,0.714033381077811,"none"
"11203","Ppp1r35",0.026321530748545,-0.320274091024637,0.94119252483344,"none"
