"","gene","pvalue","lfc","padj","color"
"8494","Map3k10",0.0214266265408776,0.372995104587315,0.95186065008475,"none"
"8495","Map3k11",0.00441597237125908,0.227899512566559,0.98988336873403,"none"
"8496","Map3k12",0.0828395273526196,-0.502403454083505,0.826343228587359,"none"
"8497","Map3k13",0.539974276010799,1.27552078042308,0.288420233419985,"none"
"8498","Map3k14",0.00716420337743041,-0.670239279253058,0.983639129114201,"none"
"8500","Map3k19",0.354409648516982,3.86983215732212,0.442171097457087,"none"
"8501","Map3k2",0.000592281041289097,0.0350472869224478,0.998637152025393,"none"
"8502","Map3k3",0.00227470916581981,-0.101133028491231,0.99477598147742,"none"
"8503","Map3k4",0.0106984186094666,-0.409140578342752,0.975666922047053,"none"
"8504","Map3k5",0.103423681457372,-1.15021301037725,0.788090910450806,"none"
"8505","Map3k6",0.00516700943047672,-0.600681732524753,0.988173016263497,"none"
"8506","Map3k7",0.00175501553439055,0.0672712655014279,0.995967081538918,"none"
"8508","Map3k9",0.0921127686706158,0.795095798282217,0.808885837047671,"none"
"8509","Map4",3.77485304373957,1.72252439170035,0.000167937218676481,"CA1"
"8510","Map4k1",0.0106984186094666,-1.38229823537806,0.975666922047053,"none"
"8511","Map4k2",0.0392578325989002,-0.471519811410039,0.913570710412319,"none"
"8512","Map4k3",1.65122430909761,1.19381694003295,0.022324189012268,"CA1"
"8513","Map4k4",0.163176747123724,-0.60667058201785,0.686788877026489,"none"
"8514","Map4k5",0.0105687669543909,0.413337100819221,0.97595823524627,"none"
"8515","Map6",0.00669378611366504,0.20668601636415,0.984705160439594,"none"
"8516","Map6d1",0.000592281041289097,-0.0158816711596472,0.998637152025393,"none"
"8517","Map7",0.00175501553439055,0.0531340896285503,0.995967081538918,"none"
"8518","Map7d1",0.0274209831909789,-0.278074121318158,0.938812831488251,"none"
"8519","Map7d2",0.432332282866762,0.66236402714913,0.369545328918316,"none"
"8520","Map9",0.166276510193886,0.632329800240233,0.681904395383375,"none"
"8521","Mapk1",0.0103140037629672,-0.326938954139576,0.976530913893269,"none"
"8522","Mapk10",0.59513946084147,0.828966388094714,0.254015687823534,"none"
"8523","Mapk11",0.0428245729639973,-0.881699101658936,0.90609853251188,"none"
"8524","Mapk12",0.438003229417366,-2.82526846196602,0.36475123462232,"none"
"8526","Mapk14",0.00746652886953918,-0.228749013053269,0.98295462651779,"none"
"8528","Mapk1ip1",0.00467130305158,-0.254550464658794,0.989301566935243,"none"
"8529","Mapk1ip1l",1.6473691357012e-06,-0.000947063093746381,0.99999620679958,"none"
"8530","Mapk3",5.53846528789999,-2.42200398226363,2.89424113746432e-06,"DG"
"8531","Mapk4",0.00155575347493328,0.165776190010673,0.996424153860107,"none"
"8532","Mapk6",0.00155575347493328,-0.061563748352397,0.996424153860107,"none"
"8533","Mapk7",0.0342953470694467,-0.502118218272264,0.92406953585176,"none"
"8534","Mapk8",0.345395426634347,1.0327623105342,0.451444715209195,"none"
"8535","Mapk8ip1",0.00175501553439055,-0.048462612722534,0.995967081538918,"none"
"8536","Mapk8ip2",0.0384717513217233,0.291285738057854,0.915225788193345,"none"
"8537","Mapk8ip3",0.633477169493909,0.561473809382175,0.23255347341211,"none"
"8538","Mapk9",0.00397700706573803,-0.0976420868658583,0.990884404083047,"none"
"8539","Mapkap1",0.103481638826809,0.837963277512157,0.787985745337418,"none"
"8540","Mapkapk2",0.0105687669543909,-0.444633148377166,0.97595823524627,"none"
"8541","Mapkapk3",0.0129830316627772,-1.77668408614134,0.970547886820346,"none"
"8542","Mapkapk5",0.000592281041289097,0.0403558004218057,0.998637152025393,"none"
"8543","Mapkbp1",0.0378302247758388,-0.594430638076675,0.916578730794604,"none"
"8544","Mapre1",0.00467130305158,-0.156826228940381,0.989301566935243,"none"
"8545","Mapre2",0.00285215551300671,-0.0817694933522958,0.993454187018978,"none"
"8546","Mapre3",0.0142904096693376,-0.23810227704046,0.967630592095076,"none"
"8547","Mapt",0.000592281041289097,0.0114463391862339,0.998637152025393,"none"
"8548","Marc2",0.153162144045679,-0.989084025925347,0.702809876502762,"none"
"8549","March1",0.388624334503315,1.3200444679639,0.408672736127732,"none"
"8551","March11",0.000592281041289097,0.0531971463169803,0.998637152025393,"none"
"8552","March2",0.00285215551300671,-0.132573581838734,0.993454187018978,"none"
"8553","March3",0.00285215551300671,0.476871185527057,0.993454187018978,"none"
"8554","March4",0.316771753692062,1.22537267713287,0.482201155016077,"none"
"8555","March5",0.00669378611366504,-0.207913723473558,0.984705160439594,"none"
"8556","March6",0.197193679709058,0.576894967442895,0.635047660290287,"none"
"8557","March7",0.00612489610390086,-0.319477674056877,0.985995888304292,"none"
"8558","March8",0.0040628251745261,-0.190431071169969,0.990688621203011,"none"
"8560","Marcks",0.155526879530838,-0.638129119601301,0.69899347303461,"none"
"8561","Marcksl1",1.11332025680279,-1.79691649132289,0.0770335200105546,"DG"
"8562","Marf1",0.0021344237804168,0.0849783469025725,0.995097364960877,"none"
"8563","Mark1",0.00669378611366504,-0.224112096640402,0.984705160439594,"none"
"8564","Mark2",0.00262314778467679,-0.104564471367035,0.993978183271232,"none"
"8565","Mark3",0.00669378611366504,0.210809062831544,0.984705160439594,"none"
"8566","Mark4",0.36482649920084,0.914647656763083,0.431691503291539,"none"
"8567","Mars",0.00155575347493328,0.0507548752190759,0.996424153860107,"none"
"8568","Mars2",0.00175501553439055,-0.127655529798361,0.995967081538918,"none"
"8569","Marveld1",0.00746652886953918,-0.614074625231802,0.98295462651779,"none"
"8572","Mas1",0.228637038552044,-1.52016889071946,0.590694546678464,"none"
"8573","Masp1",0.00227470916581981,0.247418767881976,0.99477598147742,"none"
